지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2018-02-24,2.4,-1.1,2359,7.2,1446,,,,,,,6.9,340,858,3.9,340,852,2.1,1836,290,-8.3,17,1345,49.4,3.6
108,서울,2018-02-25,1.9,-1.6,213,7.9,1515,,,,,,,7.2,290,1522,3.8,290,1527,1.7,1499,290,-10.8,16,1315,40.6,2.7
108,서울,2018-02-26,3.1,-3.2,714,10.4,1516,,,,,,,6.6,320,1557,3.6,290,1633,1.4,1183,290,-9.3,23,1458,43.1,3
108,서울,2018-02-27,4.2,.6,450,6.9,1554,,,,,,,4.7,50,1854,1.8,290,2,.9,774,90,-5.7,36,1234,48.8,4.1
108,서울,2018-02-28,4.6,1.8,2246,7.8,1230,11.25,,,,,25,9.1,160,1529,3.7,110,1400,2,1703,90,-.2,47,1217,73.3,6.1
108,서울,2018-03-01,-.2,-4.3,2341,3,547,4.25,,,,,.5,12.3,320,1358,6.9,290,1422,3.8,3295,290,-7.3,33,1555,61.9,3.9
108,서울,2018-03-02,-.7,-6.7,625,5.4,1608,,,,,,,6.9,320,36,3.3,290,1258,1.5,1322,290,-15.2,18,1619,34,1.9
108,서울,2018-03-03,7.9,-.1,725,16.2,1515,1.17,,,,,0,6.6,270,1626,3.9,290,2002,1.5,1305,270,-7.5,13,1336,38.1,4
108,서울,2018-03-04,9.8,7.6,2359,11.9,1627,13.75,,,,,11.5,8.2,20,2324,3.5,50,2312,1.2,1023,90,7.9,79,1938,89.1,10.7
108,서울,2018-03-05,5.5,1.3,2353,11.4,1622,9.92,,,,,3.5,8.5,140,6,3.5,360,1336,2,1690,50,-.5,37,1613,67.5,6
108,서울,2018-03-06,4.5,-1.1,625,10.9,1546,,,,,,,6.7,340,1858,3.7,290,1211,1.6,1343,20,-7,24,1500,46.8,3.7
108,서울,2018-03-07,6.4,2.2,650,10.7,1614,3.5,,,,,.5,7,110,1036,3.2,160,1559,1.8,1516,90,-2.7,34,1426,54,5.1
108,서울,2018-03-08,4.6,2.7,2216,9.7,1558,10.25,,,,,4,9.1,320,1807,4.5,320,1717,1.9,1617,320,.6,50,1419,76,6.4
108,서울,2018-03-09,4.5,1.4,720,9.6,1600,,,,,,,8.1,250,1720,4.2,270,1714,1.5,1328,290,-2,37,1601,63.3,5.3
108,서울,2018-03-10,4.6,.7,708,9.7,1406,,,,,,,9.8,320,1421,5.9,290,1452,2,1688,290,-1.7,30,1440,65.8,5.5
108,서울,2018-03-11,6.4,2.7,731,12.2,1537,,,,,,,7.6,270,1427,4.2,290,1736,2,1725,290,-4.4,19,1402,51.3,4.6
108,서울,2018-03-12,8,2.2,248,15.5,1455,,,,,,,8,180,1425,4.2,290,1533,1.4,1215,290,-3.3,30,1225,45.8,4.9
108,서울,2018-03-13,12.4,5.2,224,18.8,1423,,,,,,,8.3,180,1335,4.3,250,1617,1.8,1522,230,4.6,39,955,60.5,9
108,서울,2018-03-14,17,13.6,1,22.1,1505,,,,,,,9.8,290,1402,5,250,1305,2.3,1978,230,8.5,37,1504,58.8,11.1
108,서울,2018-03-15,12.4,8.4,2356,16.6,247,13.5,,,,,27,9.1,340,2201,4.8,340,2210,2.1,1800,270,11,67,36,92.1,13.3
108,서울,2018-03-16,7.1,3.6,710,12.2,1520,,,,,,,8.6,160,218,3.1,90,422,1.9,1670,90,-3.9,29,1557,46.9,4.6
108,서울,2018-03-17,6.6,.5,657,14,1543,,,,,,,7.1,290,1828,3.8,270,1836,1.5,1329,270,-4.2,22,1448,48,4.6
108,서울,2018-03-18,8.2,5.4,301,12.5,1542,7.42,,,,,.5,5,320,1650,2.9,270,827,1.2,1054,290,-.4,28,1549,55.9,6
108,서울,2018-03-19,8,6.2,419,10.4,1117,13.5,,,,,1,10.1,160,1050,4.2,90,1136,2.5,2123,90,1.2,41,2348,64.5,6.9
108,서울,2018-03-20,4.7,1.6,2335,9.1,1158,,,,,,,12.8,90,1657,4.8,90,716,3.4,2955,90,-7.8,32,1135,39.9,3.4
108,서울,2018-03-21,2.1,1.1,2033,5.3,1120,8.33,,,,,1,8,50,50,3.3,110,21,1.7,1485,20,-4.6,33,1023,64.1,4.5
108,서울,2018-03-22,4.9,.6,637,11.6,1410,,,,,,,9.1,200,1449,5,290,1547,2.2,1916,270,-2.7,27,1322,61.5,5
108,서울,2018-03-23,6.1,1.8,239,12.5,1407,,,,,,,7.5,180,1503,4.2,290,1804,2,1707,270,-3,19,1532,55.3,4.9
108,서울,2018-03-24,7.6,4,640,13.1,1416,,,,,,,8.8,200,1437,4.4,290,1454,2.1,1830,270,.3,38,858,61.9,6.5
108,서울,2018-03-25,9.6,4.6,555,16.9,1447,,,,,,,7.4,290,1451,3.5,270,1526,1.7,1494,290,2.7,33,1424,65.6,7.5
108,서울,2018-03-26,11,5.3,224,18.1,1453,,,,,,,8.5,320,1459,4.4,290,1514,1.9,1659,290,3.3,30,1628,64.5,7.8
108,서울,2018-03-27,13.3,7.7,411,20,1549,,,,,,,9,290,1625,3.9,250,1633,1.6,1423,250,5.6,36,1013,61.1,9.3
108,서울,2018-03-28,14,9.4,612,19,1419,,,,,,,10.3,180,1409,4.8,230,1557,2.2,1879,250,7.5,42,1552,66.4,10.4
108,서울,2018-03-29,15.4,11.8,2358,21.1,1451,,,,,,,7.3,290,1604,4,270,1609,1.6,1379,270,8.6,36,1629,66.3,11.2
108,서울,2018-03-30,14.8,9.8,347,21.9,1457,,,,,,,7.7,200,1550,3.8,270,1554,1.7,1492,90,4.8,24,1154,55.6,8.8
108,서울,2018-03-31,14,9.3,608,20.1,1358,,,,,,,8.5,290,1503,4.5,200,1157,1.9,1649,270,3.6,27,1432,52.9,8
108,서울,2018-04-01,15.6,11.7,45,18.5,1548,,,,,,,6.5,200,1149,3.5,200,1152,1.5,1327,200,9.7,50,1115,68.8,12.3
108,서울,2018-04-02,18.4,14.9,548,23.7,1459,,,,,,,8.4,200,1358,4.5,290,1817,1.9,1626,230,11,41,1336,64,13.1
108,서울,2018-04-03,17.8,14.9,2302,21.2,1409,2.92,.1,,.1,,.1,8.2,270,1539,4.4,290,1816,2.1,1834,230,12.6,50,1412,72.9,14.7
108,서울,2018-04-04,13.4,9.5,2356,18.2,1430,6.5,2.5,239,8,148,18.5,11,320,418,5.1,290,421,1.9,1644,90,6.7,40,1355,67,10.1
108,서울,2018-04-05,7.6,6.7,751,9.5,1,19.67,1,645,3,636,10.5,7.8,160,750,3.5,90,811,2,1708,90,6,61,1,90.6,9.4
108,서울,2018-04-06,5.8,3,2400,8.6,1022,5.42,.5,19,2.5,140,6.5,12.1,290,1500,5.7,290,1412,3.1,2707,270,.7,40,1806,71.6,6.7
108,서울,2018-04-07,4.2,1.4,224,8.6,1341,2.58,.1,,.2,,.2,12.1,270,1359,6,320,931,4.1,3536,270,-7.3,17,1316,45.5,3.7
108,서울,2018-04-08,3.9,.6,638,7.9,1353,6.5,1,1729,2.5,1711,3,8.5,180,1006,3.6,230,1011,1.8,1577,90,-4.1,25,1325,59.6,4.7
108,서울,2018-04-09,7.9,.1,555,15.4,1616,,,,,,,5.5,290,1353,2.9,200,1222,1.1,917,20,-2,21,1413,57.9,5.4
108,서울,2018-04-10,15.1,6.9,511,21.9,1245,2.58,2,2207,4.5,2126,5,15.9,230,2044,8.8,200,2032,3.5,3026,200,4.3,26,1055,51,9
108,서울,2018-04-11,12.6,8.7,648,17.3,1526,,,,,,,11.2,320,1636,6.1,290,1640,3,2576,270,.9,20,1612,49.4,6.9
108,서울,2018-04-12,13.3,6.8,539,19.6,1535,,,,,,,11.9,320,1327,6.2,320,1327,2.6,2230,320,-5.3,12,1838,30.5,4.3
108,서울,2018-04-13,14.6,8.3,556,19.3,1230,,,,,,,8.4,110,2252,3.7,140,2257,1.3,1122,110,-6.9,13,1233,22.9,3.7
108,서울,2018-04-14,9,7.5,826,14.8,1,13.33,1,637,2.5,552,9,7.9,270,2229,4.1,270,2255,1.8,1531,290,5.1,24,44,78.8,8.9
108,서울,2018-04-15,9.5,5.6,519,14.2,1424,,,,,,,8.7,290,1526,4.9,270,1248,2.4,2047,270,3.1,46,1258,65.5,7.6
108,서울,2018-04-16,11.6,4.9,623,18.8,1543,,,,,,,8,250,1728,4.7,270,1729,1.6,1380,270,-1.8,20,1657,41.9,5.4
108,서울,2018-04-17,12.9,6.8,612,20.1,1424,,,,,,,8.6,290,1544,5.5,270,1810,1.9,1609,290,-1.7,21,1345,37.9,5.4
108,서울,2018-04-18,12.4,6.2,540,19.3,1441,,,,,,,7.1,290,1614,3.9,290,1410,1.9,1642,290,-3.3,14,1145,35.4,4.9
108,서울,2018-04-19,14,7.4,608,20.5,1359,,,,,,,8.4,180,1352,5.1,290,1439,1.9,1663,290,-.8,15,1342,38.8,5.9
108,서울,2018-04-20,18.4,11,627,26.3,1430,,,,,,,6.1,180,1359,3.6,290,1551,1.3,1110,20,5.8,26,1356,46,9.3
108,서울,2018-04-21,18.7,12.3,559,25.6,1341,,,,,,,9,320,1211,4.6,290,1511,1.9,1599,270,-1.2,8,1241,32,6
108,서울,2018-04-22,15.5,10.7,2400,21,1417,14.5,1.5,2136,4.5,2055,15.5,7.2,360,1908,2.9,180,1453,1.1,985,110,6.1,29,1412,57.4,9.7
108,서울,2018-04-23,9.3,8.4,858,10.7,1,23.42,2.5,535,8.5,802,59,8.4,230,1330,3,110,827,2.2,1881,110,8.3,85,123,93.9,10.9
108,서울,2018-04-24,12.1,8.9,2357,16.1,1308,5.75,1,226,2.9,202,3,8,340,1207,2.8,50,1207,1.4,1234,110,4.8,36,1909,63.3,8.8
108,서울,2018-04-25,14.6,5.7,528,23.3,1552,,,,,,,7.7,290,2000,4.4,290,2001,1.5,1294,290,-.7,18,1533,37.8,5.9
108,서울,2018-04-26,14.9,10,527,22.1,1414,,,,,,,8.8,320,1742,5.1,290,1731,2.1,1785,290,4.3,22,1435,51.9,8.3
108,서울,2018-04-27,15.7,9.7,521,23.3,1516,,,,,,,7.4,270,1636,3.8,290,1654,1.7,1473,290,5.5,27,1457,52.9,9.1
108,서울,2018-04-28,15.4,10.5,554,21.7,1324,,,,,,,8.2,290,1542,4.8,270,1558,2,1704,290,3.4,24,1432,49,8
108,서울,2018-04-29,16.2,9.4,606,22.9,1508,,,,,,,7.7,340,1602,4.3,290,1607,1.9,1637,290,2.7,22,1517,43.1,7.4
108,서울,2018-04-30,19.2,14.1,149,25,1607,,,,,,,7,270,1653,3.6,270,1701,1.6,1383,290,11.3,42,1257,61.6,13.6
108,서울,2018-05-01,20.4,17.8,542,23.3,1318,1.42,0,,0,,0,6.8,340,1413,4,340,1216,1.5,1265,320,15.2,58,1015,72.8,17.3
108,서울,2018-05-02,15.1,8.7,2355,19.7,1,14.83,2,1158,6.5,1126,12,10.3,270,2030,5.2,290,1920,1.9,1658,70,13.5,75,4,90.4,15.8
108,서울,2018-05-03,11.2,6.9,444,14.7,1051,3.62,.5,1412,.9,1322,1,10.6,290,1517,5.3,270,1006,2.7,2317,290,3.8,45,1024,62.4,8.1
108,서울,2018-05-04,14.1,8.8,542,20,1455,,,,,,,11.9,250,1704,5.9,270,1310,2.7,2320,270,1.8,25,1447,45.5,7
108,서울,2018-05-05,18.3,11.6,250,24.6,1433,,,,,,,9.3,180,1552,4.8,200,1457,2.6,2287,230,6.1,27,1451,46.8,9.6
108,서울,2018-05-06,16.6,15,628,20.7,1742,13.83,1.5,1005,4,954,22,6.8,230,10,3.9,230,5,1.1,936,90,14.1,60,1743,86.4,16.1
108,서울,2018-05-07,19.2,14,549,25.5,1700,,,,,,,6.2,290,1647,3.7,290,1719,1.2,1052,290,10.1,26,1740,60.3,12.5
108,서울,2018-05-08,17.5,11.6,2357,22.9,1534,,,,,,,7.8,70,2135,2.7,70,1153,1.7,1510,110,6.8,36,1529,50.9,10
108,서울,2018-05-09,15.7,9.2,527,21.8,1629,,,,,,,7,320,1501,3.6,290,1750,1.7,1456,90,5,31,1630,50.4,8.8
108,서울,2018-05-10,15.4,11.3,532,21.4,1350,,,,,,,8.7,290,1429,5.4,290,1518,2.3,1978,270,8.9,44,1343,67.4,11.5
108,서울,2018-05-11,16.1,11.9,257,21.3,1337,,,,,,,7.1,340,1411,3.5,290,1457,1.8,1513,290,7.6,36,1749,59.8,10.5
108,서울,2018-05-12,14.2,11.8,825,16.1,1,21,1.5,1002,4,912,32,6.3,180,1714,2.9,270,2326,.9,816,50,12.3,50,55,89.3,14.4
108,서울,2018-05-13,15.8,12.7,2350,20,1514,8.25,.2,,.2,,.5,7.8,270,1533,3.9,270,1538,1.9,1645,270,12.5,61,1516,82.5,14.5
108,서울,2018-05-14,18.2,11.9,235,24.5,1628,,,,,,,7.2,290,1610,3.4,270,1611,1.4,1202,270,12.4,45,1737,71.4,14.5
108,서울,2018-05-15,23.2,15.4,525,29.3,1519,.75,0,,0,,0,7,230,1738,3.4,200,1738,1.1,934,230,13.3,31,1423,56.4,15.5
108,서울,2018-05-16,22.3,21.8,1244,24.4,1,17.07,13.5,1212,35,1154,45,12,230,1115,6.1,200,1122,1.9,1648,200,21.1,62,3,93.8,25.1
108,서울,2018-05-17,20.9,18.8,434,23.5,1334,19.75,10,314,19.5,248,83,13.4,270,316,8,290,323,1.4,1228,270,20.4,80,1335,97,24
108,서울,2018-05-18,16.3,12.2,2352,19.3,1,13.33,1,209,2,126,6.5,7,20,2008,2.7,20,1814,1.3,1117,70,13.9,66,2324,86.8,16.3
108,서울,2018-05-19,17.6,10.3,455,24.7,1642,,,,,,,7.3,20,130,2.9,50,42,1.5,1328,90,5.6,31,1642,47.5,9.1
108,서울,2018-05-20,17,11.5,551,22.6,1709,,,,,,,8.7,50,1724,2.8,110,1610,1.4,1186,90,-.2,22,1604,32.1,6.1
108,서울,2018-05-21,17.8,11.3,543,23.7,1449,,,,,,,7.2,140,1012,3.5,160,1016,1.4,1217,110,4.7,24,953,43.9,9.1
108,서울,2018-05-22,18.1,15.4,230,23.2,1209,9.5,1,1742,4,2249,12.5,5.7,270,1453,3.1,290,1445,1.1,949,290,13.4,48,1150,75.5,15.5
108,서울,2018-05-23,17.3,13.6,623,23.3,1513,3.5,1,3,3.5,39,6.5,8.6,250,1809,5,290,1823,2.5,2133,320,7.7,27,1443,57.1,10.7
108,서울,2018-05-24,18.3,11.2,510,23.7,1413,,,,,,,10.3,180,1154,5.4,200,1156,2.2,1913,230,6.2,24,911,47.4,9.6
108,서울,2018-05-25,19.7,13.8,546,26.2,1347,,,,,,,8.6,200,1321,4.5,290,1632,1.8,1552,290,6.9,22,1333,47.4,10.1
108,서울,2018-05-26,21.8,14,538,29.6,1456,,,,,,,7.7,320,1659,4,270,1652,1.4,1223,290,10,27,1239,50.1,12.3
108,서울,2018-05-27,20.3,17.3,558,24.7,1428,,,,,,,6.9,290,1354,4.1,290,1356,1.7,1500,320,8.3,30,1003,47.4,11
108,서울,2018-05-28,22.3,16.2,600,29.1,1424,,,,,,,7.9,320,1635,4.3,320,1651,1.6,1404,270,11,34,1408,49.8,13.2
108,서울,2018-05-29,21.4,19.1,2356,25.9,1413,3,1,1931,1,1855,1,9.3,290,1925,4.4,320,1537,1.8,1558,290,15.3,50,1408,69.3,17.5
108,서울,2018-05-30,20.2,15.8,2354,24.7,1511,2.25,0,,0,,0,8.1,290,1322,4.4,290,1342,1.9,1656,270,14.1,35,1715,69.8,16.2
108,서울,2018-05-31,20.9,14.2,545,27.6,1623,,,,,,,6.8,290,1614,3.6,320,2042,1.9,1618,290,11.8,35,1504,58.9,13.9
108,서울,2018-06-01,23.8,17.5,543,30.2,1448,,,,,,,8.2,290,1321,4.3,290,1700,1.9,1639,290,12.1,30,1403,50.4,14.1
108,서울,2018-06-02,23.4,17.6,508,30.1,1410,,,,,,,7.6,270,1715,4.5,290,1717,2,1744,270,9.6,20,1344,44.5,12
108,서울,2018-06-03,24,16.9,538,30.8,1458,,,,,,,8,320,1655,4.2,270,1703,1.6,1425,270,8.1,19,1452,39.4,10.8
108,서울,2018-06-04,22.6,18.9,545,27.5,1301,,,,,,,8.1,270,1412,4.4,270,1415,1.9,1601,290,11.3,27,1251,50.1,13.6
108,서울,2018-06-05,23.7,17.7,536,29.2,1503,,,,,,,7.1,320,1545,4,290,1440,1.7,1437,290,12.7,31,1343,52.5,14.7
108,서울,2018-06-06,23,18.4,538,27.9,1431,,,,,,,7.4,250,1319,4,290,1613,2,1745,270,15.2,44,1521,62.9,17.4
108,서울,2018-06-07,22.2,17.8,455,29.4,1601,,,,,,,7.3,340,1722,4.1,320,1734,2,1740,270,15.7,37,1605,69.3,17.9
108,서울,2018-06-08,21.9,18.5,308,27,1703,,,,,,,6.4,290,1113,3.7,320,1121,2.1,1773,290,15.3,47,1516,68,17.5
108,서울,2018-06-09,23.7,18.9,503,30.1,1400,5,.3,1945,.5,1919,.5,6.5,50,1212,3.5,160,1321,1.4,1205,90,14.9,35,1355,60.6,17
108,서울,2018-06-10,21.3,18.3,348,24.9,1502,4.67,.5,49,.5,-2359,.5,7.1,90,834,2.9,110,842,1.4,1189,90,12.9,47,1253,59.9,14.9
108,서울,2018-06-11,20.2,18,2334,23.9,1325,5.42,1.5,2241,4.5,2220,5,7.7,340,1639,4.3,340,1647,1.4,1231,70,13.5,45,955,67.3,15.7
108,서울,2018-06-12,21.3,16.6,612,27.1,1532,1.08,0,,0,,0,8.3,290,1717,4.7,320,1827,1.7,1508,290,14,40,1522,65.5,16
108,서울,2018-06-13,22,18.3,206,27,1347,.33,0,,0,,0,9.5,290,1738,5.1,320,1737,1.5,1319,50,14.7,46,1348,64,16.7
108,서울,2018-06-14,21.6,18.8,814,25.1,1541,7.08,6,628,19.5,628,29,6.5,290,451,3.7,290,452,1.1,981,90,16.6,55,1506,74.9,19
108,서울,2018-06-15,21.7,17.2,522,27,1532,4.17,4.5,320,11.5,244,16.5,7.2,50,1423,2.7,110,1249,1.4,1238,90,13.1,38,1533,60.8,15.2
